46,507,33087,softball,balle molle,Ball Diamond,Terrain de balle,baseball,90,70,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
47,1302,33201,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,65,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
48,418,33073,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,no/non,no/non,no/non,None,None,None,None,None
49,675,33114,softball,balle molle,Ball Diamond,Terrain de balle,standard,60,50,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
50,592,3847,softball,balle molle,Ball Diamond,Terrain de balle,baseball,55,40,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,yes/oui,yes/oui,no/non,no/non,None,None,None,None,None
51,334,3832,softball,balle molle,Ball Diamond 02 - Softball,Terrain de balle 02 - Balle molle,baseball,60,50,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
52,1133,33177,softball,balle molle,Ball Diamond 01 - South,Terrain de balle 01 - Sud,baseball,68,63,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
53,1334,33211,softball,balle molle,Ball Diamond,Terrain de balle,standard,73,52,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
54,1102,33173,softball,balle molle,Ball Diamond,Terrain de balle,standard,70,70,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,2016-07-26 9:33,None
55,903,33144,softball,balle molle,Ball Diamond,Terrain de balle,baseball,61,67,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
56,541,33096,softball,balle molle,Ball Diamond,Terrain de balle,standard,71,68,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,yes/oui,None,None,None,None,None
57,541,33097,softball,balle molle,Ball Diamond,Terrain de balle,baseball,71,71,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
58,506,33085,softball,balle molle,Ball Diamond 02,Terrain de balle 02,baseball,69,68,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,yes/oui,yes/oui,yes/oui,no/non,None,None,None,45:03.0,None
59,752,33126,softball,balle molle,Ball Diamond,Terrain de balle,standard,60,55,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
60,691,33115,softball,balle molle,Ball Diamond,Terrain de balle,baseball,50,45,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
61,929,33150,softball,balle molle,Ball Diamond,Terrain de balle,baseball,70,75,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
62,1056,3861,softball,balle molle,Ball Diamond,Terrain de balle,baseball,70,65,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
63,132,4004,softball,balle molle,Ball Diamond 02,Terrain de balle 02,baseball,75,70,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,None,None,None,None,None
64,653,33112,softball,balle molle,Ball Diamond 02,Terrain de balle 02,baseball,70,65,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
65,533,33095,T-Ball,tee ball,T-Ball,Terrain de tee ball,standard,60,55,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,2016-07-26 9:35,None
66,589,33104,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
67,339,33055,softball,balle molle,Ball Diamond 01,Terrain de balle 01,baseball,75,70,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
